Encoder,H,m,mean_S_probe,mean_S_rollout,mean_Delta,CI_low,CI_high,excludes_zero
E5,96,10,0.8616137922058682,0.8497524439317828,0.011861348274085432,0.003124609005838914,0.020679062724908392,True
E5,96,20,0.8616137922058682,0.9130791622873151,-0.051465370081446825,-0.05852968879368115,-0.04428935866485226,True
E5,192,3,0.8650214043152867,0.7732000547203245,0.09182134959496248,0.08454266787634519,0.098838853093473,True
E5,192,5,0.8650214043152867,0.7997168135570564,0.06530459075823039,0.056165164430284686,0.07429514228287425,True
E5,192,10,0.8650214043152867,0.8439357823922465,0.021085621923040098,0.012366233955077478,0.029847468837245796,True
E5,192,20,0.8650214043152867,0.8998685257196597,-0.0348471214043729,-0.04145841831093838,-0.02813224586295888,True
E5,256,3,0.8675332407279177,0.7734533840020417,0.09407985672587614,0.08697434986320547,0.10085420712147246,True
E5,256,5,0.8675332407279177,0.7983013889428724,0.0692318517850456,0.06047976681392839,0.07789886684951093,True
E5,256,10,0.8675332407279177,0.8396103512514497,0.027922889476468326,0.019297722131809525,0.036531070310657554,True
E5,256,20,0.8675332407279177,0.8938207312603772,-0.026287490532459313,-0.03283900686437849,-0.019638321501358993,True
