layer,k,alpha_mean_or_formula_inputs,pilot_margin_mean,pilot_margin_std,n_examples_or_trials,selected_for_layer
12,0.8,k=0.8*mean_hidden_norm=91.5555=alpha=73.2444,0.00022581926896236837,0.045507851988077164,40,False
12,1.0,k=1.0*mean_hidden_norm=91.5555=alpha=91.5555,-0.0038690268993377686,0.0396471731364727,40,False
12,1.6,k=1.6*mean_hidden_norm=91.5555=alpha=146.4888,-0.0023352373391389847,0.04827164113521576,40,False
12,2.4,k=2.4*mean_hidden_norm=91.5555=alpha=219.7332,-0.003805247601121664,0.07210636138916016,40,False
12,3.2,k=3.2*mean_hidden_norm=91.5555=alpha=292.9776,-0.0006309893215075135,0.08225235342979431,40,False
12,4.8,k=4.8*mean_hidden_norm=91.5555=alpha=439.4664,-0.0012284498661756516,0.09539638459682465,40,False
12,6.4,k=6.4*mean_hidden_norm=91.5555=alpha=585.9552,-0.0039648436941206455,0.08632992953062057,40,False
12,8.0,k=8.0*mean_hidden_norm=91.5555=alpha=732.4440,-0.00962038617581129,0.09043137729167938,40,False
15,0.05,k=0.05*mean_hidden_norm=100.6389=alpha=5.0319,0.0022054731380194426,0.012663532979786396,40,False
15,0.1,k=0.1*mean_hidden_norm=100.6389=alpha=10.0639,0.004248236306011677,0.017391962930560112,40,False
15,0.2,k=0.2*mean_hidden_norm=100.6389=alpha=20.1278,0.006945377681404352,0.03447725623846054,40,False
15,0.3,k=0.3*mean_hidden_norm=100.6389=alpha=30.1917,0.00976252369582653,0.0376255102455616,40,False
15,0.4,k=0.4*mean_hidden_norm=100.6389=alpha=40.2556,0.008110305294394493,0.038412559777498245,40,False
15,0.6,k=0.6*mean_hidden_norm=100.6389=alpha=60.3834,0.009829460643231869,0.04090024530887604,40,False
15,0.8,k=0.8*mean_hidden_norm=100.6389=alpha=80.5112,0.008021744899451733,0.049924276769161224,40,False
15,1.0,k=1.0*mean_hidden_norm=100.6389=alpha=100.6389,0.017407182604074478,0.05075034871697426,40,False
15,1.6,k=1.6*mean_hidden_norm=100.6389=alpha=161.0223,0.015237214975059032,0.06110023334622383,40,False
15,2.4,k=2.4*mean_hidden_norm=100.6389=alpha=241.5335,0.01764155924320221,0.0769798681139946,40,False
15,3.2,k=3.2*mean_hidden_norm=100.6389=alpha=322.0446,0.023413583636283875,0.08504189550876617,40,True
15,4.8,k=4.8*mean_hidden_norm=100.6389=alpha=483.0669,0.018595492467284203,0.09202869981527328,40,False
15,6.4,k=6.4*mean_hidden_norm=100.6389=alpha=644.0892,0.010066972114145756,0.08442164957523346,40,False
15,8.0,k=8.0*mean_hidden_norm=100.6389=alpha=805.1115,0.011922353878617287,0.08350475132465363,40,False
